nameFirst,nameLast,birthYear,birthCountry,deathYear,deathCountry
Jordan,Brown,1983,USA,,
Gregg,Olson,1966,USA,,
John,McDonald,1974,USA,,
Jeff,DaVanon,1973,USA,,
Tony,Armas,1953,Venezuela,,
Larry,Anderson,1952,USA,,
Danny,Richardson,1863,USA,1926,USA
Claude,Thomas,1890,USA,1946,USA
Dan,Coogan,1875,USA,1942,USA
Bill,Hughes,1860,USA,1928,USA
Harry,O'Neill,1897,CAN,1969,CAN
Ken,Wood,1924,USA,2007,USA
Paul,Martin,1932,USA,2011,USA
Daric,Barton,1985,USA,,
Joe,McCarthy,1994,USA,,
Buck,Freeman,1871,USA,1949,USA
Dain,Clay,1919,USA,1994,USA
Julio,Gonzalez,1920,Cuba,1991,Cuba
Bill,Wilson,1928,USA,,
Ed,Foster,1885,USA,1929,USA
Jorge,Sosa,1978,D.R.,,
Jose,De Paula,1988,D.R.,,
Hanley,Ramirez,1983,D.R.,,
Doug,Davis,1975,USA,,
Stew,Cliburn,1956,USA,,
Jeff,Williams,1972,Australia,,
Jack,Owens,1908,USA,1958,USA
Fernando,Tatis,1975,D.R.,,
Doggie,Miller,1864,USA,1909,USA
Jose,Castillo,1981,Venezuela,2018,Venezuela
Edgar,Gonzalez,1978,USA,,
George,Bell,1959,D.R.,,
Keith,Miller,1963,USA,,
Juan,Guerrero,1967,D.R.,,
Bill,McCarren,1895,USA,1983,USA
Claude,Davidson,1896,USA,1956,USA
Jolbert,Cabrera,1972,Colombia,,
Johnny,Barrett,1915,USA,1974,USA
Jeff,Gray,1963,USA,,
Charlie,Smith,1880,USA,1929,USA
Jonathan,Hernandez,1996,USA,,
Billy,Moran,1933,USA,2021,USA
Chris,Short,1937,USA,1991,USA
Jeremy,Reed,1981,USA,,
Frank,Smith,1928,USA,2005,USA
Eddy,Diaz,1971,Venezuela,,
Pat,Sullivan,1861,USA,1901,USA
Lee,King,1894,USA,1938,USA
Luis,de los Santos,1966,D.R.,,
Juan,Castillo,1962,D.R.,,
Jose,Santiago,1928,P.R.,2018,P.R.
Pat,Strange,1980,USA,,
Mayo,Smith,1915,USA,1977,USA
Harry,Sullivan,1888,USA,1919,USA
Hack,Spencer,1885,USA,1969,USA
Doug,Davis,1962,USA,,
Dan,O'Connor,1868,CAN,1942,CAN
Charlie,Householder,1855,USA,1908,USA
Jackie,Hayes,1906,USA,1983,USA
Josh,Fields,1985,USA,,
Paul,Dean,1912,USA,1981,USA
Joe,Connolly,1884,USA,1943,USA
Bill,Kelly,1898,USA,1990,USA
Jack,Harper,1893,USA,1927,USA
Jason,Shiell,1976,USA,,
Carlos,Castillo,1975,USA,,
Walter,Johnson,1887,USA,1946,USA
Chris,Beck,1990,USA,,
Chris,Seelbach,1972,USA,,
Juan,Castillo,1970,Venezuela,,
Jamey,Wright,1974,USA,,
Wash,Williams,,USA,,
Fred,Waters,1927,USA,1989,USA
Keith,Brown,1964,USA,,
Jerald,Clark,1963,USA,,
George,Stallings,1867,USA,1929,USA
Todd,Cruz,1955,USA,2008,USA
Luis,Martinez,1980,D.R.,,
Tommy,Hunter,1986,USA,,
Chick,Autry,1885,USA,1976,USA
Manny,Barreda,1988,USA,,
John,McGraw,1873,USA,1934,USA
Tommy,Thomas,1899,USA,1988,USA
Ken,Hunt,1934,USA,1997,USA
Rod,Miller,1940,USA,2013,USA
Patrick,Murphy,1995,USA,,
Larvell,Blanks,1950,USA,,
Matt,Reynolds,1984,USA,,
Frank,Schulte,1882,USA,1949,USA
Joey,Hamilton,1970,USA,,
Matt,Olson,1994,USA,,
Jimmy,Austin,1879,United Kingdom,1965,USA
Shea,Hillenbrand,1975,USA,,
David,Adams,1987,USA,,
Edgar,Gonzalez,1983,Mexico,,
Dave,Clark,1962,USA,,
Bryan,Clark,1956,USA,,
Jose,Reyes,1983,D.R.,,
Bull,Wagner,1887,USA,1967,USA
Jason,Wood,1969,USA,,
Edgar,Smith,1860,USA,,
George,McQuinn,1910,USA,1978,USA
Randy,Johnson,1956,USA,,
Charlie,Brown,1871,USA,1938,USA
Gene,Snyder,1931,USA,1996,USA
Tom,Murray,1867,USA,1939,USA
Tom,Hughes,1884,USA,1961,USA
Mario,Guerrero,1949,D.R.,,
Bud,Stewart,1916,USA,2000,USA
Gary,Wilson,1954,USA,,
Jeff,Harris,1974,USA,,
Bob,Sadowski,1937,USA,2017,USA
Brant,Brown,1971,USA,,
Derrick,White,1969,USA,,
Juan,Diaz,1974,Cuba,,
Carlos,Rivera,1978,P.R.,,
Gary,Cooper,1964,USA,,
Gene,Baker,1925,USA,1999,USA
Roberto,Hernandez,1980,D.R.,,
Mike,Adams,1948,USA,,
Brad,Nelson,1982,USA,,
Billy,Sullivan,1875,USA,1965,USA
Mike,Grace,1956,USA,,
Ed,Murphy,1877,USA,1935,USA
Joe,Martin,1876,USA,1964,USA
Frosty,Thomas,1881,USA,1970,USA
Dick,Scott,1883,USA,1911,USA
Darrell,May,1972,USA,,
Jered,Weaver,1982,USA,,
Juan,Gonzalez,1969,P.R.,,
Jack,Phillips,1919,USA,1958,USA
William,Matthews,1877,USA,1946,USA
Mike,Mahoney,1972,USA,,
Ross,Jones,1960,USA,,
Alex,Jackson,1995,USA,,
Frank,Baker,1944,USA,2010,USA
Butts,Wagner,1871,USA,1928,USA
Ray,Caldwell,1888,USA,1967,USA
Chuck,Seelbach,1948,USA,,
Wilking,Rodriguez,1990,Venezuela,,
Joely,Rodriguez,1991,D.R.,,
Hal,Erickson,1919,USA,2008,USA
Dave,Hollins,1966,USA,,
Jim,Jones,1876,USA,1953,USA
Mike,Lynch,1875,USA,1947,USA
Pete,Young,1968,USA,,
John,Murphy,1858,USA,1905,USA
Jake,Wood,1937,USA,,
Herbert,Jackson,1883,USA,1922,USA
Mickey,Corcoran,1882,USA,1950,USA
Jerry,Johnson,1943,USA,2021,USA
Joe,Hall,1966,USA,,
Randy,Flores,1975,USA,,
Tom,Carey,1846,USA,1906,USA
Jorge,Guzman,1996,D.R.,,
Jim,Wilson,1960,USA,,
Tom,Hughes,1934,Panama,,
Jack,Lopez,1992,P.R.,,
John,Nelson,1979,USA,,
Kid,Butler,1861,USA,1921,USA
Jake,McCarthy,1997,USA,,
Danny,Clark,1894,USA,1937,USA
Bill,Miller,1927,USA,2003,USA
Bob,Schmidt,1933,USA,2015,USA
Jacque,Jones,1975,USA,,
Ramon,Garcia,1924,Cuba,2001,Cuba
Greg,Harris,1963,USA,,
Nick,Martinez,1990,USA,,
Billy,Pierce,1927,USA,2015,USA
John,Briggs,1934,USA,2018,USA
Damian,Jackson,1973,USA,,
Mike,Davis,1959,USA,,
Ali,Sanchez,1997,Venezuela,,
Bill,Bailey,1888,USA,1926,USA
John,Patterson,1978,USA,,
Willy,Wilson,1885,USA,1925,USA
Josh,Wall,1987,USA,,
Enzo,Hernandez,1949,Venezuela,2013,Venezuela
Rick,Anderson,1956,USA,,
Frank,Pearce,1905,USA,1950,USA
Bill,Stellberger,1865,USA,1936,USA
Tony,Murray,1904,USA,1974,USA
Alex,Sanchez,1966,USA,,
Bill,Stein,1947,USA,,
Colby,Ward,1964,USA,,
Harl,Maggert,1914,USA,1986,USA
Dale,Roberts,1942,USA,2010,USA
George,Smith,1901,USA,1981,USA
Gary,Matthews,1950,USA,,
Charlie,Jones,1876,USA,1947,USA
Jay,Johnstone,1945,USA,2020,USA
Bill,Harris,1900,USA,1965,USA
Les,Willis,1908,USA,1982,USA
Adam,Eaton,1988,USA,,
Rankin,Johnson,1888,USA,1972,USA
George,Freese,1926,USA,2014,USA
Daniel,Davidson,1981,USA,,
Mike,Kelley,1875,USA,1955,USA
JaCoby,Jones,1992,USA,,
Bill,Anderson,1895,USA,1983,USA
Harry,Pattee,1882,USA,1971,USA
Bill,Steinecke,1907,USA,1986,USA
Connie,Murphy,1870,USA,1945,USA
Bill,Harrelson,1945,USA,,
Red,Patterson,1987,USA,,
Mike,Williams,1968,USA,,
Howard,Bailey,1957,USA,,
Bill,Jones,1887,CAN,1946,USA
Adam,Peterson,1979,USA,,
Dick,Egan,1937,USA,,
Art,Wilson,1885,USA,1960,USA
John,Mercer,1892,USA,1982,USA
Luis,Rivera,1978,Mexico,,
Pete,Rose,1969,USA,,
Ri,Jones,1859,USA,1936,USA
George,Grant,1903,USA,1986,USA
Tex,Jones,1885,USA,1938,USA
Jesse,Hoffmeister,1877,USA,1933,USA
Darren,Oliver,1970,USA,,
Mark,Williams,1953,USA,,
Jason,McDonald,1972,USA,,
Pedro,Martinez,1971,D.R.,,
Frank,Bennett,1904,USA,1966,USA
Darrell,Porter,1952,USA,2002,USA
Roel,Ramirez,1995,USA,,
Ducky,Holmes,1883,USA,1945,USA
Bert,Daniels,1882,USA,1958,USA
Carlos,Maldonado,1979,Venezuela,,
Bob,Harrison,1930,USA,,
Bobby,Locke,1934,USA,2020,USA
Roman,Mejias,1930,Cuba,,
Wally,Whitehurst,1964,USA,,
Matt,Moore,1989,USA,,
Jerry,Moore,1855,CAN,1890,USA
Marty,Castillo,1957,USA,,
Cal,Ripken,1935,USA,1999,USA
Steve,Ontiveros,1961,USA,,
Geremi,Gonzalez,1975,Venezuela,2008,Venezuela
Joe,Flynn,1861,USA,1933,USA
Jimmy,Grant,1918,USA,1970,USA
Dave,Oliver,1951,USA,,
John,Smith,1858,USA,1899,USA
Bill,Crouch,1907,USA,1980,USA
Davey,Williams,1927,USA,2009,USA
Don,Johnson,1911,USA,2000,USA
Bill,White,1934,USA,,
Jim,Campbell,1943,USA,,
Ed,Morris,1899,USA,1932,USA
Pete,Smith,1966,USA,,
John,Hoover,1962,USA,2014,USA
Bill,Henderson,1857,USA,1929,USA
Paul,Smith,1931,USA,2019,USA
Tony,Gwynn,1960,USA,2014,USA
Jose,Gonzalez,1964,D.R.,,
Vinny,Castilla,1967,Mexico,,
Sam,McConnell,1975,USA,,
Jose,Bautista,1964,D.R.,,
Hal,Trosky,1912,USA,1979,USA
Gaby,Sanchez,1983,USA,,
John,Miller,1944,USA,,
Ernie,Groth,1884,USA,1950,USA
John,Fitzgerald,1870,USA,1921,USA
Jose,Rodriguez,1894,Cuba,1953,Cuba
Mike,Lynch,1880,USA,1927,USA
Mike,Smith,1904,USA,1981,USA
Daniel,Johnson,1995,USA,,
Austin,Adams,1986,USA,,
Luis,Marte,1986,D.R.,,
Brian,Lawrence,1976,USA,,
John,Mulligan,,USA,,
Rusty,Peters,1914,USA,2003,USA
Dan,Jennings,1987,USA,,
Hal,Keller,1927,USA,2012,USA
Rod,Allen,1959,USA,,
Red,Smith,1904,USA,1978,USA
Dave,Anderson,1868,USA,1897,USA
Johnny,Schulte,1896,USA,1978,USA
Brian,Smith,1972,USA,,
Steve,Kline,1972,USA,,
Justin,Wilson,1987,USA,,
Dave,Ford,1956,USA,,
Jake,Meyers,1996,USA,,
Joe,Brown,1859,CAN,1888,USA
Mickey,Harrington,1934,USA,2017,USA
Joe,Brown,1900,USA,1950,USA
Eli,Whiteside,1979,USA,,
Chris,Howard,1966,USA,,
Milt,Whitehead,1862,CAN,1901,USA
Frank,Barnes,1900,USA,1967,USA
Craig,Wilson,1964,USA,,
Stephen,Larkin,1973,USA,,
Jose,Guzman,1963,P.R.,,
Joe,Christopher,1935,V.I.,,
Tommy,Griffith,1889,USA,1967,USA
John,McDonald,1883,USA,1950,USA
Joel,Davis,1965,USA,,
Bill,Anderson,1865,USA,1936,USA
Angel,Santos,1979,P.R.,,
Joe,Schultz,1918,USA,1996,USA
Chris,Snelling,1981,USA,,
Roger,Smithberg,1966,USA,,
Bill,Henry,1942,USA,,
Jay,Rogers,1888,USA,1964,USA
Bob,Porterfield,1923,USA,1980,USA
Charlie,Berry,1860,USA,1940,USA
Bud,Smith,1979,USA,,
Buddy,Black,1957,USA,,
Larry,Carter,1965,USA,,
Mike,McCormick,1917,USA,1976,USA
Mitch,White,1994,USA,,
Tommy,Murphy,1979,USA,,
Ron,Davis,1955,USA,,
Robbie,Ray,1991,USA,,
Jose,Roman,1963,D.R.,,
Rube,Foster,1879,USA,1930,USA
Jackie,Tobin,1921,USA,1982,USA
Dave,Schneck,1949,USA,,
Bill,Rodgers,1887,USA,1978,USA
Carlos,Perez,1971,D.R.,,
Darnell,McDonald,1978,USA,,
Mitchell,Page,1951,USA,2011,USA
John,Simmons,1924,USA,2008,USA
Chief,Meyers,1880,USA,1971,USA
Luis,Lopez,1970,P.R.,,
Deke,White,1872,USA,1957,USA
Mark,Reynolds,1983,USA,,
Otto,Miller,1889,USA,1962,USA
Mike,Smith,1977,USA,,
Bill,Gleason,1858,USA,1932,USA
Hunter,Hill,1879,USA,1959,USA
Jack,O'Brien,1873,USA,1933,USA
Bill,Wilson,1942,USA,1993,USA
Brayan,Villarreal,1987,Venezuela,,
Joe,Callahan,1916,USA,1949,USA
Dallas,Green,1934,USA,2017,USA
Mickey,McDermott,1929,USA,2003,USA
Rick,Adams,1878,USA,1955,USA
Jack,Chapman,1843,USA,1916,USA
Toby,Hall,1975,USA,,
Darrell,Jackson,1956,USA,,
Dick,Harley,1874,USA,1961,USA
George,McQuillan,1885,USA,1940,USA
Richard,Rodriguez,1990,D.R.,,
Kid,Butler,1887,USA,1964,USA
Jeff,Robinson,1960,USA,,
Candy,Maldonado,1960,P.R.,,
Don,Nicholas,1930,USA,2007,USA
Steve,Sparks,1965,USA,,
Dan,McGeehan,1885,USA,1955,USA
Brian,Wilson,1982,USA,,
Al,Smith,1903,USA,1995,USA
Kelvin,Chapman,1956,USA,,
Rollin,Cook,1890,USA,1975,USA
Johnny,Ostrowski,1917,USA,1992,USA
Jimmy,Cooney,1894,USA,1991,USA
Randy,Johnson,1963,USA,,
Johnny,Butler,1893,USA,1967,USA
Jacob,Wilson,1990,USA,,
Chin-lung,Hu,1984,Taiwan,,
Cliff,Carroll,1859,USA,1923,USA
Matt,White,1977,USA,,
Josh,Rodriguez,1984,USA,,
Jim,Murray,1894,USA,1973,USA
John,Burke,1877,USA,1950,USA
Tony,Smith,1884,USA,1964,USA
Robert,Ray,1984,USA,,
Dave,Schmidt,1956,USA,,
Win,Clark,1875,USA,1959,USA
Pat,House,1940,USA,,
Bob,Hall,1878,USA,1950,USA
Ryan,Jackson,1971,USA,,
Chuck,James,1981,USA,,
Brad,Bergesen,1985,USA,,
Pat,Crawford,1902,USA,1994,USA
Pat,O'Connell,1861,USA,1943,USA
Hank,Patterson,1907,USA,1970,USA
Eddie,Taylor,1901,USA,1992,USA
Charlie,Gibson,1879,USA,1954,USA
Stan,Spence,1915,USA,1983,USA
Jiggs,Donahue,1879,USA,1913,USA
Jack,McCandless,1891,USA,1961,USA
John,Miller,1941,USA,2020,USA
Tom,Morrison,1869,USA,1902,USA
Mario,Ramirez,1957,P.R.,2013,P.R.
Red,Barnes,1903,USA,1959,USA
Mark,Wagner,1954,USA,,
Gary,Buckels,1965,USA,,
Chad,Meyers,1975,USA,,
Tom,Thomas,1873,USA,1942,USA
Bryse,Wilson,1997,USA,,
Bill,Hunter,1887,USA,1934,USA
Andy,Thompson,1975,USA,,
Gary,Jones,1945,USA,,
Rondell,White,1972,USA,,
Jeff,Reed,1962,USA,,
Pat,Murphy,1857,USA,1927,USA
Alfredo,Gonzalez,1992,Venezuela,,
Archie,Reynolds,1946,USA,,
Johnny,Johnston,1890,USA,1940,USA
Patrick,Sandoval,1996,USA,,
Garland,Buckeye,1897,USA,1975,USA
Bob,Jones,1949,USA,,
John,O'Neil,1920,USA,2012,USA
Pop-boy,Smith,1892,USA,1924,USA
Tom,Gillen,1862,USA,1889,USA
John,Antonelli,1915,USA,1990,USA
Ed,Fisher,1876,USA,1951,USA
Harry,O'Neill,1917,USA,1945,Japan
Alan,Newman,1969,USA,,
Billy,Kelly,1886,USA,1940,USA
Hal,Anderson,1904,USA,1974,USA
Chuck,Jackson,1963,USA,,
Mike,Mendoza,1955,USA,,
Frank,Beck,1858,USA,,
Jim,Moore,1903,USA,1973,USA
Charlie,Devens,1910,USA,2003,USA
Dario,Alvarez,1989,D.R.,,
Lee,Thomas,1936,USA,,
Lefty,Thomas,1903,USA,1952,USA
Mike,Smith,1961,USA,,
Pete,Smith,1940,USA,,
Mason,Williams,1991,USA,,
Chris,Young,1983,USA,,
Edward,Cabrera,1998,D.R.,,
Joe,Mathes,1891,USA,1978,USA
Billy,Williams,1932,USA,2013,USA
Brandon,Marsh,1997,USA,,
Dee,Phillips,1919,USA,2004,USA
Jim,Devlin,1849,USA,1883,USA
Billy,Campbell,1873,USA,1957,USA
Larry,Gonzales,1967,USA,,
Jim,Kennedy,1946,USA,,
John,Glenn,1928,USA,,
Ted,Cox,1955,USA,2020,USA
Charlie,Ferguson,1863,USA,1888,USA
Fred,Nicholson,1894,USA,1972,USA
Arnold,Leon,1988,Mexico,,
Nick,Green,1978,USA,,
Freddy,Rodriguez,1924,Cuba,2009,USA
Jim,Wright,1900,United Kingdom,1963,USA
Luis,Marte,1993,D.R.,,
Len,Gabrielson,1915,USA,2000,USA
Ed,Sprague,1967,USA,,
Jake,Jones,1920,USA,2000,USA
Matt,Young,1958,USA,,
Bill,Buckner,1949,USA,2019,USA
Tod,Davis,1924,USA,1978,USA
George,Smith,1892,USA,1965,USA
Pat,Sullivan,1854,USA,1896,USA
Jose,Ortiz,1947,P.R.,2011,P.R.
Randy,Moore,1906,USA,1992,USA
Larry,Miller,1937,USA,2018,USA
Chad,Green,1991,USA,,
Roy,Smalley,1926,USA,2011,USA
Michael,Taylor,1991,USA,,
Rodney,Myers,1969,USA,,
Lars,Anderson,1987,USA,,
Ted,Lyons,1900,USA,1986,USA
Brian,Barber,1973,USA,,
Tom,Pratt,1844,USA,1908,USA
John,Sullivan,1941,USA,,
John,Kelly,1859,USA,1908,USA
Felix,Hernandez,1986,Venezuela,,
Art,Lopez,1937,P.R.,,
Damaso,Garcia,1957,D.R.,2020,D.R.
Luis,Jimenez,1982,Venezuela,,
Daryl,Thompson,1985,USA,,
Curt,Brown,1960,USA,,
Bill,Johnson,1960,USA,2018,USA
Dick,Scott,1933,USA,2020,USA
Bill,Webb,1895,USA,1943,USA
James,Morris,1860,USA,1925,USA
Marcus,Jones,1975,USA,,
Larry,Parrish,1953,USA,,
Fred,Thomas,,USA,,
John,Andreoli,1990,USA,,
Al,Shaw,1881,USA,1974,USA
Adam,Russell,1983,USA,,
Juan,Mateo,1982,D.R.,,
John,Stoneham,1908,USA,2004,USA
Paddy,Smith,1894,USA,1990,USA
Tony,Castillo,1963,Venezuela,,
Dee,Brown,1978,USA,,
Bob,Miller,1935,USA,,
Elmer,Miller,1890,USA,1944,USA
Carlos,Valderrama,1977,Venezuela,,
Marco,Hernandez,1992,D.R.,,
Dave,Smith,1914,USA,1998,USA
Andres,Santana,1968,D.R.,,
Alex,Cabrera,1971,Venezuela,,
Jack,Russell,1905,USA,1990,USA
Jack,Wallace,1890,USA,1960,USA
Bill,Lee,1946,USA,,
Jack,Doyle,1869,Ireland,1958,USA
Bill,White,1978,USA,,
Dan,Jennings,1960,USA,,
Don,Johnson,1926,USA,2015,USA
Marcus,Moore,1970,USA,,
Charlie,Starr,1878,USA,1937,USA
Con,Murphy,1863,USA,1914,USA
Danny,Garcia,1954,USA,,
Bill,White,1860,USA,1924,USA
Parson,Perryman,1888,USA,1966,USA
Denny,Driscoll,1855,USA,1886,USA
Rich,Scheid,1965,USA,,
Brad,Mills,1957,USA,,
Don,Leppert,1931,USA,,
Brandon,Berger,1975,USA,,
Ed,Hearne,1887,USA,1952,USA
Joe,Kelly,1988,USA,,
Charlie,Blackmon,1986,USA,,
Garrett,Cooper,1990,USA,,
Jim,Donnelly,1867,USA,1933,USA
John,Gillespie,1900,USA,1954,USA
Bill,Chambers,1888,USA,1962,USA
Jesus,Hernaiz,1945,P.R.,,
James,Graham,1865,USA,1935,USA
Brad,Mills,1985,USA,,
Bud,Thomas,1929,USA,2015,USA
Jeff,Richardson,1965,USA,,
Bill,Bailey,1881,USA,1967,USA
Al,Newman,1960,USA,,
Ray,Brown,1908,USA,1965,USA
Jerry,Zimmerman,1934,USA,1998,USA
Bobby,Brown,1924,USA,2021,USA
Mike,Diaz,1960,USA,,
Brandon,Villafuerte,1975,USA,,
Lloyd,Merriman,1924,USA,2004,USA
Rontrez,Johnson,1976,USA,,
Sam,Narron,1913,USA,1996,USA
Henry,Cruz,1952,V.I.,,
Mike,Ramsey,1960,USA,,
Billy,Gardner,1927,USA,,
Edward,Olivares,1996,Venezuela,,
Junior,Guerra,1985,Venezuela,,
Bull,Smith,1880,USA,1928,USA
Steve,Lombardozzi,1988,USA,,
Dave,Collins,1952,USA,,
Ricardo,Jordan,1970,USA,,
John,Castino,1954,USA,,
Bill,Miller,1879,Germany,1957,USA
Tony,Walker,1959,USA,,
Jordan,Smith,1986,USA,,
Joe,Burns,1916,USA,1974,USA
Miguel,Gonzalez,1990,Venezuela,,
Mack,Stewart,1914,USA,1960,USA
Alan,Mills,1966,USA,,
Tommy,Davis,1939,USA,,
Manny,Ramirez,1972,D.R.,,
Travis,Miller,1972,USA,,
David,Carpenter,1987,USA,,
Arcenio,Leon,1986,Venezuela,,
Bob,Porter,1959,USA,,
Albert,Hall,1958,USA,,
Vince,Gonzales,1925,Cuba,1981,Mexico
German,Gonzalez,1962,Venezuela,,
Larry,Johnson,1950,USA,2013,USA
Bobby,Clark,1955,USA,,
Bob,Smith,1974,USA,,
Jim,Riley,1895,CAN,1969,USA
Frank,Connaughton,1869,USA,1942,USA
Scott,Sanderson,1956,USA,2019,USA
Harry,Smith,1856,USA,1898,USA
Bob,Gibson,1957,USA,,
John,Greenig,1848,USA,1913,USA
Dan,Ford,1952,USA,,
Kevin,Brown,1965,USA,,
Ellis,Johnson,1892,USA,1965,USA
Chris,Smith,1981,USA,,
Leon,Williams,1905,USA,1984,USA
Bill,Conroy,1915,USA,1997,USA
Mike,Gonzalez,1890,Cuba,1977,Cuba
Adam,Peterson,1965,USA,,
Henry,Jones,1857,USA,1955,USA
Reed,Johnson,1976,USA,,
Bill,Crouch,1886,USA,1945,USA
Bernie,Williams,1948,USA,,
Ed,Walsh,1881,USA,1959,USA
Red,Smith,1890,USA,1966,USA
Bob,Perry,1934,USA,2017,USA
Earl,Averill,1902,USA,1983,USA
Dave,Martinez,1964,USA,,
Max,West,1904,USA,1971,USA
Luis,Gonzalez,1995,Mexico,,
Chris,Taylor,1990,USA,,
John,Rodriguez,1978,USA,,
Mike,Smithson,1955,USA,,
Dad,Clarkson,1866,USA,1911,USA
Jocko,Flynn,1864,USA,1907,USA
Jeff,Francoeur,1984,USA,,
Gavin,Cecchini,1993,USA,,
Hack,Miller,1913,USA,1966,USA
Mike,Johnson,1975,CAN,,
Marty,Keough,1934,USA,,
Dan,O'Brien,1954,USA,,
Johnny,Allen,1904,USA,1959,USA
Tom,Baker,1913,USA,1991,USA
Ren,Kelly,1899,USA,1963,USA
Glenn,Liebhardt,1883,USA,1956,USA
Bubba,Harris,1926,USA,2013,USA
Bill,Kennedy,1918,USA,1995,USA
Frank,Robinson,1935,USA,2019,USA
Michael,Campbell,1850,Ireland,1926,USA
Darryl,Jones,1951,USA,,
Brandon,Phillips,1981,USA,,
Cal,Ripken,1960,USA,,
Bill,Hunter,1855,CAN,1918,USA
Vince,Castino,1917,USA,1967,USA
Joba,Chamberlain,1985,USA,,
Gene,Moriarty,1863,USA,1904,USA
Angel,Chavez,1981,Panama,,
Jack,O'Brien,1860,USA,1910,USA
Charley,Hall,1884,USA,1943,USA
Tayler,Scott,1992,South Africa,,
Tyler,Greene,1983,USA,,
Carlos,Rivero,1988,Venezuela,,
Charlie,Hall,1863,USA,1921,USA
Tommy,Smith,1948,USA,,
Rafael,Lopez,1987,USA,,
Dave,Campbell,1951,USA,,
Joe,Kennedy,1979,USA,2007,USA
Tom,Fisher,1942,USA,2016,USA
Marty,Sullivan,1862,USA,1894,USA
Joe,Walsh,1917,USA,1996,USA
Jim,Hughes,1951,USA,,
Tom,Brewer,1931,USA,2018,USA
Tom,Gilles,1962,USA,,
James,Russell,1986,USA,,
Al,Martin,1967,USA,,
Jimmy,Rogers,1967,USA,,
Bill,Moran,1950,USA,,
John,O'Connell,1904,USA,1992,USA
Charlie,Beamon,1934,USA,2016,USA
Al,Shaw,1873,United Kingdom,1958,USA
Hansel,Izquierdo,1977,Cuba,,
Matt,Young,1982,USA,,
Fernando,Rodriguez,1984,USA,,
Jack,Wilson,1977,USA,,
Craig,Wilson,1976,USA,,
Mike,Stanley,1963,USA,,
Mel,Stottlemyre,1963,USA,,
Jim,Wilson,1922,USA,1986,USA
Dave,Smith,1955,USA,2008,USA
Art,Johnson,1897,USA,1982,USA
Chink,Taylor,1898,USA,1980,USA
Henry,Rodriguez,1987,Venezuela,,
Eloy,Jimenez,1996,D.R.,,
Rex,Barney,1924,USA,1997,USA
Gary,Matthews,1974,USA,,
Kevin,Smith,1996,USA,,
Tom,Morrissey,1860,USA,1941,USA
Rafael,Valdez,1967,D.R.,,
Doc,Marshall,1875,USA,1959,USA
Jason,Boyd,1973,USA,,
Cobe,Jones,1907,USA,1969,USA
Jason,Johnson,1973,USA,,
Stu,Clarke,1906,USA,1985,USA
Guillermo,Rodriguez,1978,Venezuela,,
Kerwin,Moore,1970,USA,,
Gary,Brown,1988,USA,,
Ed,Hearn,1960,USA,,
Joe,Connolly,1894,USA,1960,USA
Bobby,Moore,1965,USA,,
Sandy,Alomar,1943,P.R.,,
Rob,Johnson,1982,USA,,
Johnny,Guzman,1971,D.R.,,
Ward,Miller,1884,USA,1958,USA
Spencer,Adams,1898,USA,1970,USA
Ed,Glenn,1860,USA,1892,USA
Jacob,Doyle,1855,USA,1941,USA
Jordan,Patterson,1992,USA,,
Jose,Rodriguez,1974,P.R.,,
Ed,Mayer,1931,USA,2015,USA
Edwin,Diaz,1975,P.R.,,
Ramon,Castro,1979,Venezuela,,
Kevin,Rogers,1968,USA,,
Todd,Walker,1973,USA,,
Mike,Heathcott,1969,USA,,
Chris,Hatcher,1985,USA,,
Roger,Cedeno,1974,Venezuela,,
Danny,Murphy,1876,USA,1955,USA
Doc,Wallace,1893,USA,1964,USA
Dave,Davidson,1984,CAN,,
Santiago,Rosario,1939,P.R.,2013,P.R.
Roger,Clemens,1962,USA,,
Ed,Plank,1952,USA,,
Casey,Sadler,1990,USA,,
Dad,Clark,1873,USA,1956,USA
Bob,Clark,1897,USA,1944,USA
Todd,Greene,1971,USA,,
Terry,Lyons,1908,USA,1959,USA
John,Bates,1868,USA,1919,USA
Jack,Bradley,1893,USA,1969,USA
Gene,Stone,1944,USA,2009,USA
John,Sullivan,1890,USA,1966,USA
Luis,Garcia,2000,USA,,
Bob,Bowman,1910,USA,1972,USA
Ed,Taylor,1877,USA,1912,USA
Roger,Miller,1954,USA,1993,USA
Sam,McConnell,1895,USA,1981,USA
Ed,Morgan,1904,USA,1980,USA
Joe,Chamberlain,1910,USA,1983,USA
Joe,Schaffernoth,1937,USA,2016,USA
John,Stone,1905,USA,1955,USA
Brad,Miller,1989,USA,,
Bobby,Wilson,1983,USA,,
Bo,Schultz,1985,USA,,
Danny,Murphy,1864,USA,1915,USA
Jimmy,Nelson,1989,USA,,
Dan,Robertson,1985,USA,,
Ira,Davis,1870,USA,1942,USA
Bob,Ferguson,1845,USA,1894,USA
Ronny,Miller,1918,USA,1998,USA
Phil,Clark,1968,USA,,
Walter,Morris,1880,USA,1961,USA
Lamar,Johnson,1950,USA,,
Ed,Mayer,1865,USA,1946,USA
Abe,Johnson,,USA,,
Jack,Warner,1872,USA,1943,USA
Rob,Ryan,1973,USA,,
Josh,Rojas,1994,USA,,
Hal,Smith,1931,USA,2014,USA
Jose,Ramirez,1990,D.R.,,
Tom,O'Brien,1860,USA,1921,USA
